year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
2013,Litter,Boreal wet forest,87809332.21396267,5190377.072927469,16.917717341186655,"Modified Decay, Turnover and Spinup parameters"
2013,Litter,Cool temperate moist forest,108662191.48639117,6692252.221012427,16.237013773212567,"Modified Decay, Turnover and Spinup parameters"
2013,Litter,Cool temperate steppe,656353.0810651664,41655.13748523968,15.756833867076837,"Modified Decay, Turnover and Spinup parameters"
2013,Litter,Cool temperate wet forest,2976137.26081511,184465.87289243154,16.13380954508913,"Modified Decay, Turnover and Spinup parameters"
2013,Litter,Polar rain tundra,7351538.666083094,414548.85008504183,17.733829594690654,"Modified Decay, Turnover and Spinup parameters"
2013,Soil Carbon,Boreal wet forest,342277571.4789241,5190377.072927469,65.94464461247189,"Modified Decay, Turnover and Spinup parameters"
2013,Soil Carbon,Cool temperate moist forest,432836869.00372297,6692252.221012427,64.67730962749667,"Modified Decay, Turnover and Spinup parameters"
2013,Soil Carbon,Cool temperate steppe,2655433.1832061275,41655.13748523968,63.748035500952774,"Modified Decay, Turnover and Spinup parameters"
2013,Soil Carbon,Cool temperate wet forest,11898279.549825035,184465.87289243154,64.50125089947308,"Modified Decay, Turnover and Spinup parameters"
2013,Soil Carbon,Polar rain tundra,27943299.34093349,414548.85008504183,67.40652961695857,"Modified Decay, Turnover and Spinup parameters"
2013,Total Biomass,Boreal wet forest,96019190.01427464,5190377.072927469,18.499463269268418,"Modified Decay, Turnover and Spinup parameters"
2013,Total Biomass,Cool temperate moist forest,123803074.15130943,6692252.221012427,18.49946326926992,"Modified Decay, Turnover and Spinup parameters"
2013,Total Biomass,Cool temperate steppe,770597.6858845626,41655.13748523968,18.4994632692695,"Modified Decay, Turnover and Spinup parameters"
2013,Total Biomass,Cool temperate wet forest,3412519.6400072663,184465.87289243154,18.499463269269462,"Modified Decay, Turnover and Spinup parameters"
2013,Total Biomass,Polar rain tundra,7668931.225466149,414548.85008504183,18.499463269269523,"Modified Decay, Turnover and Spinup parameters"
2014,Deadwood,Boreal wet forest,324852161.00208664,5190377.072927469,62.58739132778728,"Modified Decay, Turnover and Spinup parameters"
2014,Deadwood,Cool temperate moist forest,408986134.60081935,6692252.221012427,61.11337724491002,"Modified Decay, Turnover and Spinup parameters"
2014,Deadwood,Cool temperate steppe,2505180.4001489123,41655.13748523968,60.140970631452426,"Modified Decay, Turnover and Spinup parameters"
2014,Deadwood,Cool temperate wet forest,11225961.137207657,184465.87289243154,60.85657450445539,"Modified Decay, Turnover and Spinup parameters"
2014,Deadwood,Polar rain tundra,26725262.665863514,414548.85008504183,64.46830731862121,"Modified Decay, Turnover and Spinup parameters"
2014,Litter,Boreal wet forest,90157568.35747655,5190377.072927469,17.37013844865533,"Modified Decay, Turnover and Spinup parameters"
2014,Litter,Cool temperate moist forest,111317897.79390767,6692252.221012427,16.633846740621966,"Modified Decay, Turnover and Spinup parameters"
2014,Litter,Cool temperate steppe,671281.3334946972,41655.13748523968,16.115211088489698,"Modified Decay, Turnover and Spinup parameters"
2014,Litter,Cool temperate wet forest,3047742.0113577936,184465.87289243154,16.521982974786006,"Modified Decay, Turnover and Spinup parameters"
2014,Litter,Polar rain tundra,7567161.377167955,414548.85008504183,18.253967839051064,"Modified Decay, Turnover and Spinup parameters"
2014,Soil Carbon,Boreal wet forest,341970189.7948063,5190377.072927469,65.88542315711346,"Modified Decay, Turnover and Spinup parameters"
2014,Soil Carbon,Cool temperate moist forest,432532958.6029405,6692252.221012427,64.63189735211526,"Modified Decay, Turnover and Spinup parameters"
2014,Soil Carbon,Cool temperate steppe,2653926.001256802,41655.13748523968,63.71185312249202,"Modified Decay, Turnover and Spinup parameters"
2014,Soil Carbon,Cool temperate wet forest,11890319.224611938,184465.87289243154,64.4580975232508,"Modified Decay, Turnover and Spinup parameters"
2014,Soil Carbon,Polar rain tundra,27911581.223809082,414548.85008504183,67.33001724183583,"Modified Decay, Turnover and Spinup parameters"
2014,Total Biomass,Boreal wet forest,109104558.72814438,5190377.072927469,21.02054575133351,"Modified Decay, Turnover and Spinup parameters"
2014,Total Biomass,Cool temperate moist forest,140674793.99128166,6692252.221012427,21.020545751337494,"Modified Decay, Turnover and Spinup parameters"
2014,Total Biomass,Cool temperate steppe,875613.723286692,41655.13748523968,21.020545751336485,"Modified Decay, Turnover and Spinup parameters"
2014,Total Biomass,Cool temperate wet forest,3877573.320695564,184465.87289243154,21.02054575133641,"Modified Decay, Turnover and Spinup parameters"
2014,Total Biomass,Polar rain tundra,8714043.069376448,414548.85008504183,21.020545751336236,"Modified Decay, Turnover and Spinup parameters"
2015,Deadwood,Boreal wet forest,313734594.16035986,5190377.072927469,60.44543387739028,"Modified Decay, Turnover and Spinup parameters"
2015,Deadwood,Cool temperate moist forest,394223444.9400954,6692252.221012427,58.90743981559858,"Modified Decay, Turnover and Spinup parameters"
2015,Deadwood,Cool temperate steppe,2411372.727244444,41655.13748523968,57.88896335053279,"Modified Decay, Turnover and Spinup parameters"
2015,Deadwood,Cool temperate wet forest,10817322.866480842,184465.87289243154,58.64132317194953,"Modified Decay, Turnover and Spinup parameters"
2015,Deadwood,Polar rain tundra,25868498.188552525,414548.85008504183,62.401567832707244,"Modified Decay, Turnover and Spinup parameters"
2015,Litter,Boreal wet forest,92200531.53627278,5190377.072927469,17.76374437556421,"Modified Decay, Turnover and Spinup parameters"
2015,Litter,Cool temperate moist forest,113601633.60872325,6692252.221012427,16.975097449560444,"Modified Decay, Turnover and Spinup parameters"
2015,Litter,Cool temperate steppe,684022.93587862,41655.13748523968,16.421094183664636,"Modified Decay, Turnover and Spinup parameters"
2015,Litter,Cool temperate wet forest,3109125.569944994,184465.87289243154,16.854746740921737,"Modified Decay, Turnover and Spinup parameters"
2015,Litter,Polar rain tundra,7757318.627349056,414548.85008504183,18.712676746679424,"Modified Decay, Turnover and Spinup parameters"
2015,Soil Carbon,Boreal wet forest,341787628.22045296,5190377.072927469,65.85025007203924,"Modified Decay, Turnover and Spinup parameters"
2015,Soil Carbon,Cool temperate moist forest,432362594.28007823,6692252.221012427,64.60644040320838,"Modified Decay, Turnover and Spinup parameters"
2015,Soil Carbon,Cool temperate steppe,2653117.6495407834,41655.13748523968,63.69244731171286,"Modified Decay, Turnover and Spinup parameters"
2015,Soil Carbon,Cool temperate wet forest,11885949.887200624,184465.87289243154,64.43441109636433,"Modified Decay, Turnover and Spinup parameters"
2015,Soil Carbon,Polar rain tundra,27891663.34917334,414548.85008504183,67.2819701307857,"Modified Decay, Turnover and Spinup parameters"
2015,Total Biomass,Boreal wet forest,120715681.07021183,5190377.072927469,23.25759369196002,"Modified Decay, Turnover and Spinup parameters"
2015,Total Biomass,Cool temperate moist forest,155645683.04043978,6692252.221012427,23.257593691962374,"Modified Decay, Turnover and Spinup parameters"
2015,Total Biomass,Cool temperate steppe,968798.2628144897,41655.13748523968,23.25759369196127,"Modified Decay, Turnover and Spinup parameters"
2015,Total Biomass,Cool temperate wet forest,4290232.321765142,184465.87289243154,23.25759369196125,"Modified Decay, Turnover and Spinup parameters"
2015,Total Biomass,Polar rain tundra,9641408.720747756,414548.85008504183,23.257593691961485,"Modified Decay, Turnover and Spinup parameters"
2016,Deadwood,Boreal wet forest,303540166.53481156,5190377.072927469,58.48133233287601,"Modified Decay, Turnover and Spinup parameters"
2016,Deadwood,Cool temperate moist forest,380719205.559248,6692252.221012427,56.88954823965847,"Modified Decay, Turnover and Spinup parameters"
2016,Deadwood,Cool temperate steppe,2325721.4230380114,41655.13748523968,55.832763098240186,"Modified Decay, Turnover and Spinup parameters"
2016,Deadwood,Cool temperate wet forest,10443615.867032342,184465.87289243154,56.615436249947315,"Modified Decay, Turnover and Spinup parameters"
2016,Deadwood,Polar rain tundra,25080768.590987545,414548.85008504183,60.501358490904984,"Modified Decay, Turnover and Spinup parameters"
2016,Litter,Boreal wet forest,93989985.1230862,5190377.072927469,18.108508072241868,"Modified Decay, Turnover and Spinup parameters"
2016,Litter,Cool temperate moist forest,115584979.77719916,6692252.221012427,17.271461977222533,"Modified Decay, Turnover and Spinup parameters"
2016,Litter,Cool temperate steppe,695040.3534568017,41655.13748523968,16.685585390351584,"Modified Decay, Turnover and Spinup parameters"
2016,Litter,Cool temperate wet forest,3162286.7730267667,184465.87289243154,17.142936649701085,"Modified Decay, Turnover and Spinup parameters"
2016,Litter,Polar rain tundra,7925726.897113438,414548.85008504183,19.118921438299804,"Modified Decay, Turnover and Spinup parameters"
2016,Soil Carbon,Boreal wet forest,341668538.6813392,5190377.072927469,65.82730577773452,"Modified Decay, Turnover and Spinup parameters"
